deglevl,,ciptitle
,,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES, OTHER"
,,"BUSINESS/COMMERCE, GENERAL"
,,BUSINESS/MANAGERIAL ECONOMICS
,,CARPENTERS
,,CELL/CELLULAR BIOLOGY AND ANATOMICAL SCIENCES
,,CHEMICAL ENGINEERING
,,CHEMISTRY
,,"CITY/URBAN, COMMUNITY AND REGIONAL PLANNING"
,,CIVIL ENGINEERING
,,CIVIL ENGINEERING TECHNOLOGIES/TECHNICIANS
,,CLASSICAL AND ANCIENT STUDIES
,,"CLASSICS AND CLASSICAL LANGUAGES, LITERATURES, AND LINGUISTICS"
,,"CLINICAL, COUNSELING AND APPLIED PSYCHOLOGY"
,,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS
,,COGNITIVE SCIENCE
,,COMMUNICATION AND MEDIA STUDIES
,,COMMUNICATION DISORDERS SCIENCES AND SERVICES
,,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS"
,,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS, OTHER"
,,"COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES, OTHER"
,,COMMUNICATIONS TECHNOLOGY/TECHNICIAN
,,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
,,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES, OTHER"
,,"COMPUTER AND INFORMATION SCIENCES, GENERAL"
,,COMPUTER ENGINEERING
,,COMPUTER ENGINEERING TECHNOLOGIES/TECHNICIANS
,,COMPUTER PROGRAMMING
,,COMPUTER SCIENCE
,,COMPUTER SOFTWARE AND MEDIA APPLICATIONS
,,COMPUTER SYSTEMS ANALYSIS
,,COMPUTER SYSTEMS NETWORKING AND TELECOMMUNICATIONS
,,COMPUTER/INFORMATION TECHNOLOGY ADMINISTRATION AND MANAGEMENT
,,CONSTRUCTION ENGINEERING TECHNOLOGIES
,,CONSTRUCTION MANAGEMENT
,,CONSTRUCTION TRADES
,,"CONSTRUCTION TRADES, OTHER"
,,COSMETOLOGY AND RELATED PERSONAL GROOMING SERVICES
,,CRIMINAL JUSTICE AND CORRECTIONS
,,CRIMINOLOGY
,,CULINARY ARTS AND RELATED SERVICES
,,DANCE
,,DATA ENTRY/MICROCOMPUTER APPLICATIONS
,,DATA PROCESSING
,,DENTAL SUPPORT SERVICES AND ALLIED PROFESSIONS
,,DENTISTRY
,,DESIGN AND APPLIED ARTS
,,DIETETICS AND CLINICAL NUTRITION SERVICES
,,DRAFTING/DESIGN ENGINEERING TECHNOLOGIES/TECHNICIANS
,,DRAMA/THEATRE ARTS AND STAGECRAFT
,,"EAST ASIAN LANGUAGES, LITERATURES, AND LINGUISTICS"
,,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY"
,,ECONOMICS
,,EDUCATION
,,"EDUCATION, GENERAL"
,,EDUCATIONAL ADMINISTRATION AND SUPERVISION
,,EDUCATIONAL/INSTRUCTIONAL MEDIA DESIGN
,,ELECTRICAL AND POWER TRANSMISSION INSTALLERS
,,ELECTRICAL ENGINEERING TECHNOLOGIES/TECHNICIANS
,,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING"
,,ELECTRICAL/ELECTRONICS MAINTENANCE AND REPAIR TECHNOLOGY
,,ELECTROMECHANICAL INSTRUMENTATION AND MAINTENANCE TECHNOLOGIES/TECHNICIANS
,,ENGINEERING
,,ENGINEERING PHYSICS
,,ENGINEERING SCIENCE
,,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
,,"ENGINEERING TECHNOLOGIES/TECHNICIANS, OTHER"
,,ENGINEERING-RELATED FIELDS
,,ENGINEERING-RELATED TECHNOLOGIES
,,"ENGINEERING, GENERAL"
,,"ENGINEERING, OTHER"
,,"ENGLISH LANGUAGE AND LITERATURE, GENERAL"
,,ENGLISH LANGUAGE AND LITERATURE/LETTERS
,,"ENGLISH LANGUAGE AND LITERATURE/LETTERS, OTHER"
,,ENTREPRENEURIAL AND SMALL BUSINESS OPERATIONS
,,ENVIRONMENTAL CONTROL TECHNOLOGIES/TECHNICIANS
,,ENVIRONMENTAL DESIGN
,,ENVIRONMENTAL/ENVIRONMENTAL HEALTH ENGINEERING
,,"ETHNIC, CULTURAL MINORITY, GENDER, AND GROUP STUDIES"
,,FAMILY AND CONSUMER ECONOMICS AND RELATED STUDIES
,,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
,,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES BUSINESS SERVICES
,,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES, GENERAL"
,,FILM/VIDEO AND PHOTOGRAPHIC ARTS
,,FINANCE AND FINANCIAL MANAGEMENT SERVICES
,,FINE AND STUDIO ARTS
,,FIRE PROTECTION
,,FISHING AND FISHERIES SCIENCES AND MANAGEMENT
,,FOOD SCIENCE AND TECHNOLOGY
,,"FOODS, NUTRITION, AND RELATED SERVICES"
,,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
,,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS, OTHER"
,,FORESTRY
,,FUNERAL SERVICE AND MORTUARY SCIENCE
,,"GENERAL SALES, MERCHANDISING AND RELATED MARKETING OPERATIONS"
,,GEOGRAPHY AND CARTOGRAPHY
,,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES
,,GEOLOGICAL/GEOPHYSICAL ENGINEERING
,,"GERMANIC LANGUAGES, LITERATURES, AND LINGUISTICS"
,,GERONTOLOGY
,,GRAPHIC COMMUNICATIONS
,,GROUND TRANSPORTATION
,,HEALTH AIDES/ATTENDANTS/ORDERLIES
,,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES
,,HEALTH AND PHYSICAL EDUCATION/FITNESS
,,"HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES, OTHER"
,,HEALTH PROFESSIONS AND RELATED PROGRAMS
,,"HEATING, AIR CONDITIONING, VENTILATION AND REFRIGERATION MAINTENANCE TECHNOLOGY/TECHNICIAN (HAC, HAC"
,,HEAVY/INDUSTRIAL EQUIPMENT MAINTENANCE TECHNOLOGIES
,,HISTORIC PRESERVATION AND CONSERVATION
,,HISTORY
,,HOMELAND SECURITY
,,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
,,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES, OTHER"
,,HOSPITALITY ADMINISTRATION/MANAGEMENT
,,HOUSING AND HUMAN ENVIRONMENTS
,,"HUMAN DEVELOPMENT, FAMILY STUDIES, AND RELATED SERVICES"
,,HUMAN RESOURCES MANAGEMENT AND SERVICES
,,INDUSTRIAL ENGINEERING
,,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS
,,INFORMATION SCIENCE/STUDIES
,,INSURANCE
,,INTERIOR ARCHITECTURE
,,INTERNATIONAL BUSINESS
,,INTERNATIONAL RELATIONS AND NATIONAL SECURITY STUDIES
,,INTERNATIONAL/GLOBAL STUDIES
,,"IRANIAN/PERSIAN LANGUAGES, LITERATURES, AND LINGUISTICS"
,,JOURNALISM
,,LANDSCAPE ARCHITECTURE
,,LAW
,,LEATHERWORKING AND UPHOLSTERY
,,LEGAL PROFESSIONS AND STUDIES
,,LEGAL SUPPORT SERVICES
,,LEISURE AND RECREATIONAL ACTIVITIES
,,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
,,LIBRARY AND ARCHIVES ASSISTING
,,LIBRARY SCIENCE
,,"LINGUISTIC, COMPARATIVE, AND RELATED LANGUAGE STUDIES AND SERVICES"
,,MANAGEMENT INFORMATION SYSTEMS AND SERVICES
,,MANAGEMENT SCIENCES AND QUANTITATIVE METHODS
,,MARINE TRANSPORTATION
,,MARKETING
,,MASON/MASONRY
,,MATERIALS ENGINEERING
,,MATHEMATICS
,,MATHEMATICS AND COMPUTER SCIENCE
,,MATHEMATICS AND STATISTICS
,,"MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS, OTHER"
,,MECHANICAL ENGINEERING
,,MECHANICAL ENGINEERING RELATED TECHNOLOGIES/TECHNICIANS
,,MEDICINE
,,MENTAL AND SOCIAL HEALTH SERVICES AND ALLIED PROFESSIONS
,,METALLURGICAL ENGINEERING
,,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY
,,"MIDDLE/NEAR EASTERN AND SEMITIC LANGUAGES, LITERATURES, AND LINGUISTICS"
,,MINING AND MINERAL ENGINEERING
,,MINING AND PETROLEUM TECHNOLOGIES/TECHNICIANS
,,MULTI/INTERDISCIPLINARY STUDIES
,,"MULTI/INTERDISCIPLINARY STUDIES, OTHER"
,,MUSIC
,,NATURAL RESOURCES AND CONSERVATION
,,"NATURAL RESOURCES AND CONSERVATION, OTHER"
,,NATURAL RESOURCES CONSERVATION AND RESEARCH
,,NATURAL RESOURCES MANAGEMENT AND POLICY
,,NATURAL SCIENCES
,,NEUROBIOLOGY AND NEUROSCIENCES
,,NUTRITION SCIENCES
,,OPHTHALMIC AND OPTOMETRIC SUPPORT SERVICES AND ALLIED PROFESSIONS
,,OUTDOOR EDUCATION
,,"PARKS, RECREATION AND LEISURE FACILITIES MANAGEMENT"
,,"PARKS, RECREATION AND LEISURE STUDIES"
,,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
,,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES, OTHER"
,,PETROLEUM ENGINEERING
,,"PHARMACY, PHARMACEUTICAL SCIENCES, AND ADMINISTRATION"
,,PHILOSOPHY
,,PHILOSOPHY AND RELIGIOUS STUDIES
,,PHYSICAL SCIENCES
,,"PHYSICAL SCIENCES, OTHER"
,,PHYSICS
,,"PHYSIOLOGY, PATHOLOGY AND RELATED SCIENCES"
,,PLANT SCIENCES
,,PLUMBING AND RELATED WATER SUPPLY SERVICES
,,POLITICAL SCIENCE AND GOVERNMENT
,,"PRACTICAL NURSING, VOCATIONAL NURSING AND NURSING ASSISTANTS"
,,PRECISION METAL WORKING
,,PRECISION SYSTEMS MAINTENANCE AND REPAIR TECHNOLOGIES
,,PSYCHOLOGY
,,"PSYCHOLOGY, GENERAL"
,,"PSYCHOLOGY, OTHER"
,,PUBLIC ADMINISTRATION
,,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
,,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS, OTHER"
,,PUBLIC HEALTH
,,PUBLIC POLICY ANALYSIS
,,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION"
,,QUALITY CONTROL AND SAFETY TECHNOLOGIES/TECHNICIANS
,,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION"
,,REAL ESTATE
,,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING"
,,REHABILITATION AND THERAPEUTIC PROFESSIONS
,,RELIGION/RELIGIOUS STUDIES
,,RESEARCH AND EXPERIMENTAL PSYCHOLOGY
,,RHETORIC AND COMPOSITION/WRITING STUDIES
,,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS"
,,"SCIENCE TECHNOLOGIES/TECHNICIANS, OTHER"
,,"SCIENCE, TECHNOLOGY AND SOCIETY"
,,"SLAVIC, BALTIC AND ALBANIAN LANGUAGES, LITERATURES, AND LINGUISTICS"
,,SOCIAL SCIENCES
,,"SOCIAL SCIENCES, GENERAL"
,,"SOCIAL SCIENCES, OTHER"
,,SOCIAL WORK
,,SOCIOLOGY
,,SOIL SCIENCES
,,SOMATIC BODYWORK AND RELATED THERAPEUTIC SERVICES
,,SPECIAL EDUCATION AND TEACHING
,,"SPECIALIZED SALES, MERCHANDISING AND  MARKETING OPERATIONS"
,,STATISTICS
,,SUSTAINABILITY STUDIES
,,TAXATION
,,"TEACHER EDUCATION AND PROFESSIONAL DEVELOPMENT, SPECIFIC LEVELS AND METHODS"
,,"TEACHER EDUCATION AND PROFESSIONAL DEVELOPMENT, SPECIFIC SUBJECT AREAS"
,,TEACHING ASSISTANTS/AIDES
,,TEACHING ENGLISH OR FRENCH AS A SECOND OR FOREIGN LANGUAGE
,,"TRANSPORTATION AND MATERIALS MOVING, OTHER"
,,URBAN STUDIES/AFFAIRS
,,VEHICLE MAINTENANCE AND REPAIR TECHNOLOGIES
,,VETERINARY MEDICINE
,,VISUAL AND PERFORMING ARTS
,,"VISUAL AND PERFORMING ARTS, GENERAL"
,,"VISUAL AND PERFORMING ARTS, OTHER"
,,WILDLIFE AND WILDLANDS SCIENCE AND MANAGEMENT
,,WOODWORKING
,,ZOOLOGY/ANIMAL BIOLOGY
